Type,Spot(S),Strike(K),Time(T),Rate(r),Vol(sigma),ExpectedPrice
CALL,100,81,1,0.03,0.2,6.2989
CALL,100,83,1,0.03,0.2,9.5315
CALL,100,80,1,0.03,0.2,5.3984
CALL,100,88,1,0.04,0.2,7.577
CALL,99,68,1,0.02,0.2,2.295
CALL,100,73,1,0.02,0.2,8.0318
CALL,100,71,1,0.02,0.2,2.6967
CALL,100,97,1,0.05,0.2,10.4258
PUT,100,90,1,0.04,0.2,5.6066
PUT,100,99,1,0.05,0.2,10.4262
CALL,82,61,0.8,0.01,0.3,1.7367
CALL,61,60,0.6,0.01,0.3,1.5514
CALL,100,89,1,0.04,0.2,8.4613
CALL,99,70,1,0.02,0.2,2.099
CALL,100,83,1,0.03,0.2,6.86
PUT,100,96,1,0.05,0.2,10.1137
CALL,100,83,1,0.03,0.2,8.2395
CALL,67,60,0.7,0.01,0.3,1.5522
CALL,93,64,0.9,0.01,0.2,4.6827
PUT,100,95,1,0.05,0.2,8.3547
CALL,100,91,1,0.04,0.2,8.7934
PUT,100,98,1,0.05,0.2,10.1839
CALL,100,75,1,0.03,0.2,7.8664
CALL,100,78,1,0.03,0.2,3.8908
CALL,99,70,1,0.02,0.2,4.9942
PUT,100,99,1,0.05,0.2,10.0865
CALL,100,84,1,0.03,0.2,4.8081
CALL,99,69,1,0.02,0.2,6.0266
CALL,100,86,1,0.04,0.2,9.0821
CALL,84,61,0.8,0.01,0.3,1.6393
PUT,100,96,1,0.05,0.2,10.2351
CALL,100,82,1,0.03,0.2,5.0074
CALL,100,73,1,0.02,0.2,5.2521
CALL,78,60,0.8,0.01,0.3,1.7543
CALL,81,61,0.8,0.01,0.3,1.5691
CALL,100,91,1,0.04,0.2,9.597
CALL,100,92,1,0.04,0.2,9.228
CALL,100,72,1,0.02,0.2,4.9698
CALL,100,73,1,0.02,0.2,2.9499
CALL,100,82,1,0.03,0.2,6.2933
CALL,89,62,0.9,0.01,0.2,3.0871
CALL,100,86,1,0.04,0.2,5.7501
CALL,100,77,1,0.03,0.2,3.1433
CALL,100,93,1,0.04,0.2,9.7917
PUT,100,73,1,0.02,0.2,1.5721
CALL,100,85,1,0.04,0.2,9.0233
PUT,100,97,1,0.05,0.2,10.354
CALL,100,98,1,0.05,0.2,10.4426
CALL,100,73,1,0.02,0.2,4.6819
CALL,100,71,1,0.02,0.2,4.5555
PUT,100,97,1,0.05,0.2,9.8658
CALL,100,71,1,0.02,0.2,4.9917
PUT,100,80,1,0.03,0.2,2.1546
PUT,100,97,1,0.05,0.2,10.4024
CALL,100,71,1,0.02,0.2,5.3595
PUT,100,79,1,0.03,0.2,1.8592
CALL,100,91,1,0.04,0.2,9.0491
CALL,100,88,1,0.04,0.2,8.6755
CALL,100,81,1,0.03,0.2,8.2304
CALL,99,68,1,0.02,0.2,1.9577
PUT,100,100,1,0.05,0.2,10.2013
CALL,100,88,1,0.04,0.2,9.883
CALL,100,90,1,0.04,0.2,8.1586
CALL,100,71,1,0.02,0.2,6.1827
CALL,99,69,1,0.02,0.2,4.8537
CALL,100,88,1,0.04,0.2,9.8245
PUT,100,99,1,0.05,0.2,9.1497
CALL,88,62,0.9,0.01,0.2,5.2071
CALL,86,62,0.9,0.01,0.2,2.9586
CALL,100,80,1,0.03,0.2,3.7618
PUT,100,93,1,0.04,0.2,6.7851
PUT,100,99,1,0.05,0.2,10.1291
CALL,100,79,1,0.03,0.2,4.0707
CALL,62,60,0.6,0.01,0.3,1.5756
PUT,100,98,1,0.05,0.2,10.2891
CALL,91,63,0.9,0.01,0.2,1.5922
CALL,100,77,1,0.03,0.2,2.8471
PUT,100,91,1,0.04,0.2,7.0379
CALL,75,60,0.7,0.01,0.3,1.571
CALL,72,60,0.7,0.01,0.3,1.5798
CALL,97,66,1,0.02,0.2,1.6953
CALL,97,66,1,0.02,0.2,1.6479
CALL,100,86,1,0.04,0.2,7.0894
PUT,100,83,1,0.03,0.2,2.7627
CALL,100,91,1,0.04,0.2,8.8059
CALL,100,72,1,0.02,0.2,2.0897
CALL,98,67,1,0.02,0.2,2.8725
CALL,93,64,0.9,0.01,0.2,1.8186
CALL,100,86,1,0.04,0.2,7.3357
CALL,100,96,1,0.05,0.2,10.4292
CALL,100,72,1,0.02,0.2,7.2731
CALL,100,85,1,0.04,0.2,8.0468
CALL,100,77,1,0.03,0.2,3.024
CALL,100,74,1,0.02,0.2,3.8528
PUT,100,96,1,0.05,0.2,9.0545
CALL,77,60,0.8,0.01,0.3,2.1908
PUT,100,92,1,0.04,0.2,7.1993
CALL,100,85,1,0.04,0.2,9.2221
PUT,100,99,1,0.05,0.2,10.1732
CALL,82,61,0.8,0.01,0.3,1.7595
CALL,99,69,1,0.02,0.2,2.5097
CALL,100,77,1,0.03,0.2,2.7322
PUT,100,78,1,0.03,0.2,1.8219
CALL,100,93,1,0.04,0.2,9.7067
PUT,100,98,1,0.05,0.2,10.4315
CALL,100,88,1,0.04,0.2,7.6292
CALL,84,61,0.8,0.01,0.3,2.898
PUT,100,78,1,0.03,0.2,1.9398
PUT,100,94,1,0.05,0.2,8.8598
CALL,69,60,0.7,0.01,0.3,1.5655
PUT,100,99,1,0.05,0.2,10.1957
CALL,98,67,1,0.02,0.2,1.5623
CALL,100,73,1,0.02,0.2,6.0974
CALL,100,78,1,0.03,0.2,4.5355
PUT,100,91,1,0.04,0.2,5.3919
CALL,100,87,1,0.04,0.2,10.178
CALL,100,79,1,0.03,0.2,4.622
CALL,100,87,1,0.04,0.2,7.6855
CALL,100,82,1,0.03,0.2,3.7493
CALL,54,60,0.5,0.01,0.3,1.5514
CALL,100,74,1,0.02,0.2,7.9118
CALL,100,88,1,0.04,0.2,10.1937
PUT,100,97,1,0.05,0.2,10.2086
PUT,100,84,1,0.04,0.2,2.61
CALL,90,63,0.9,0.01,0.2,1.6204
CALL,100,88,1,0.04,0.2,9.4123
CALL,100,74,1,0.02,0.2,4.564
CALL,99,68,1,0.02,0.2,2.209
PUT,100,98,1,0.05,0.2,10.3241
CALL,100,83,1,0.03,0.2,6.4905
CALL,100,78,1,0.03,0.2,4.7974
CALL,100,80,1,0.03,0.2,8.4552
CALL,100,83,1,0.03,0.2,6.6128
CALL,100,80,1,0.03,0.2,7.3145
CALL,94,64,0.9,0.01,0.2,2.2098
CALL,100,84,1,0.04,0.2,4.7069
PUT,100,87,1,0.04,0.2,5.1703
CALL,88,62,0.9,0.01,0.2,1.9169
CALL,100,87,1,0.04,0.2,8.3061
CALL,100,81,1,0.03,0.2,6.3698
PUT,100,98,1,0.05,0.2,9.9174
CALL,100,93,1,0.04,0.2,10.0764
PUT,100,98,1,0.05,0.2,7.1321
PUT,100,97,1,0.05,0.2,10.3484
CALL,99,70,1,0.02,0.2,4.9125
CALL,100,72,1,0.02,0.2,2.5309
CALL,87,62,0.9,0.01,0.2,2.0264
CALL,100,79,1,0.03,0.2,8.0102
CALL,92,64,0.9,0.01,0.2,2.1741
CALL,100,78,1,0.03,0.2,6.5361
CALL,98,67,1,0.02,0.2,3.7326
CALL,100,77,1,0.03,0.2,2.7443
CALL,97,67,1,0.02,0.2,2.5949
CALL,100,93,1,0.04,0.2,10.2632
PUT,100,99,1,0.05,0.2,9.7713
PUT,100,83,1,0.03,0.2,1.8666
CALL,100,75,1,0.03,0.2,3.3963
PUT,100,99,1,0.05,0.2,10.4391
CALL,100,90,1,0.04,0.2,10.0641
CALL,100,94,1,0.05,0.2,10.2591
PUT,100,82,1,0.03,0.2,1.6112
CALL,93,64,0.9,0.01,0.2,3.5557
CALL,99,70,1,0.02,0.2,3.4422
CALL,100,80,1,0.03,0.2,7.2295
CALL,100,79,1,0.03,0.2,3.4811
CALL,100,80,1,0.03,0.2,2.7982
PUT,100,88,1,0.04,0.2,5.2258
PUT,100,90,1,0.04,0.2,7.5006
CALL,100,91,1,0.04,0.2,9.8747
CALL,100,90,1,0.04,0.2,10.1593
CALL,100,79,1,0.03,0.2,7.4226
CALL,84,61,0.8,0.01,0.3,1.8272
PUT,100,97,1,0.05,0.2,7.8601
CALL,100,74,1,0.02,0.2,5.5666
CALL,100,94,1,0.05,0.2,10.353
CALL,100,83,1,0.03,0.2,3.5967
CALL,100,74,1,0.02,0.2,3.431
CALL,99,69,1,0.02,0.2,2.2315
CALL,97,66,1,0.02,0.2,2.8825
PUT,100,91,1,0.04,0.2,8.7454
CALL,100,83,1,0.03,0.2,5.0501
PUT,100,96,1,0.05,0.2,8.6535
CALL,100,74,1,0.02,0.2,2.3274
CALL,100,78,1,0.03,0.2,5.8781
CALL,100,76,1,0.03,0.2,2.5146
CALL,99,68,1,0.02,0.2,2.5409
CALL,100,73,1,0.02,0.2,3.6804
PUT,100,99,1,0.05,0.2,10.3094
CALL,100,90,1,0.04,0.2,9.9547
CALL,99,70,1,0.02,0.2,6.2289
CALL,99,70,1,0.02,0.2,5.3473
CALL,100,80,1,0.03,0.2,4.0179
PUT,100,97,1,0.05,0.2,10.3237
CALL,96,65,1,0.02,0.2,2.0624
PUT,100,99,1,0.05,0.2,10.3777
CALL,100,83,1,0.03,0.2,8.979
CALL,98,68,1,0.02,0.2,2.3915
CALL,100,76,1,0.03,0.2,4.099
CALL,96,65,1,0.02,0.2,2.8341
CALL,99,70,1,0.02,0.2,8.7417
CALL,100,75,1,0.02,0.2,3.8583
CALL,100,72,1,0.02,0.2,6.3925
PUT,100,98,1,0.05,0.2,10.3358
PUT,100,100,1,0.05,0.2,10.4493
CALL,100,81,1,0.03,0.2,5.7074
CALL,100,91,1,0.04,0.2,9.3825
CALL,100,84,1,0.03,0.2,5.7582
CALL,80,61,0.8,0.01,0.3,1.5799
PUT,100,97,1,0.05,0.2,8.8416
CALL,84,61,0.8,0.01,0.3,2.8651
PUT,100,94,1,0.05,0.2,9.4585
CALL,100,71,1,0.02,0.2,7.4311
PUT,100,89,1,0.04,0.2,4.8754
CALL,77,60,0.8,0.01,0.3,1.6564
CALL,55,60,0.5,0.01,0.3,1.5609
CALL,100,80,1,0.03,0.2,2.9191
CALL,100,85,1,0.04,0.2,7.8147
CALL,97,66,1,0.02,0.2,2.0026
CALL,100,85,1,0.04,0.2,5.8424
CALL,100,91,1,0.04,0.2,9.8217
CALL,100,81,1,0.03,0.2,7.0677
CALL,100,87,1,0.04,0.2,7.8784
CALL,98,67,1,0.02,0.2,1.7965
CALL,100,71,1,0.02,0.2,3.3216
CALL,93,64,0.9,0.01,0.2,2.1667
CALL,100,73,1,0.02,0.2,6.359
CALL,99,68,1,0.02,0.2,1.7568
PUT,100,79,1,0.03,0.2,1.778
PUT,100,88,1,0.04,0.2,6.1715
CALL,91,63,0.9,0.01,0.2,1.7323
PUT,100,96,1,0.05,0.2,9.7078
CALL,100,84,1,0.03,0.2,7.6486
CALL,100,88,1,0.04,0.2,10.1587
CALL,100,84,1,0.03,0.2,8.9458
PUT,100,94,1,0.05,0.2,9.2873
CALL,90,63,0.9,0.01,0.2,1.6456
CALL,98,68,1,0.02,0.2,3.6465
CALL,98,67,1,0.02,0.2,1.721
CALL,100,78,1,0.03,0.2,3.049
PUT,100,99,1,0.05,0.2,10.4427
PUT,100,96,1,0.05,0.2,9.6989
CALL,100,89,1,0.04,0.2,8.5823
PUT,100,96,1,0.05,0.2,9.7772
CALL,81,61,0.8,0.01,0.3,1.553
PUT,100,94,1,0.04,0.2,9.4179
CALL,71,60,0.7,0.01,0.3,1.5507
CALL,100,91,1,0.04,0.2,10.2809
CALL,100,74,1,0.02,0.2,7.7318
CALL,100,91,1,0.04,0.2,8.7592
CALL,100,93,1,0.04,0.2,10.1599
CALL,57,60,0.6,0.01,0.3,1.5527
CALL,100,97,1,0.05,0.2,10.4349
CALL,100,90,1,0.04,0.2,10.0822
CALL,96,65,1,0.01,0.2,1.6489
CALL,97,66,1,0.02,0.2,1.9632
CALL,100,82,1,0.03,0.2,7.0173
CALL,100,96,1,0.05,0.2,10.3087
PUT,100,94,1,0.05,0.2,6.7728
CALL,100,81,1,0.03,0.2,6.5181
PUT,100,93,1,0.04,0.2,8.3883
PUT,100,93,1,0.04,0.2,9.2961
PUT,100,100,1,0.05,0.2,10.445
CALL,100,73,1,0.02,0.2,7.4335
PUT,100,89,1,0.04,0.2,6.0582
PUT,100,98,1,0.05,0.2,10.3315
CALL,100,74,1,0.02,0.2,2.6135
CALL,100,89,1,0.04,0.2,8.5028
CALL,99,70,1,0.02,0.2,2.6672
CALL,99,70,1,0.02,0.2,3.747
PUT,100,95,1,0.05,0.2,6.4287
CALL,92,63,0.9,0.01,0.2,2.0915
CALL,98,67,1,0.02,0.2,7.1714
CALL,100,87,1,0.04,0.2,8.9842
CALL,91,63,0.9,0.01,0.2,4.0655
CALL,100,88,1,0.04,0.2,7.6845
CALL,100,81,1,0.03,0.2,5.1634
CALL,100,88,1,0.04,0.2,10.3313
PUT,100,84,1,0.04,0.2,3.8813
CALL,100,92,1,0.04,0.2,10.015
CALL,100,78,1,0.03,0.2,4.6369
PUT,100,92,1,0.04,0.2,5.3418
CALL,100,91,1,0.04,0.2,9.9241
CALL,100,83,1,0.03,0.2,7.6543
CALL,87,62,0.9,0.01,0.2,1.567
PUT,100,85,1,0.04,0.2,4.4552
CALL,100,80,1,0.03,0.2,5.3596
CALL,99,70,1,0.02,0.2,5.2211
CALL,100,76,1,0.03,0.2,7.7056
CALL,87,62,0.9,0.01,0.2,1.5695
CALL,99,70,1,0.02,0.2,2.7873
CALL,100,80,1,0.03,0.2,3.935
PUT,100,99,1,0.05,0.2,10.3401
CALL,100,91,1,0.04,0.2,9.9617
CALL,100,85,1,0.04,0.2,5.3726
CALL,100,71,1,0.02,0.2,4.0164
CALL,100,85,1,0.04,0.2,4.8936
CALL,100,84,1,0.03,0.2,8.2457
CALL,100,80,1,0.03,0.2,4.743
CALL,100,91,1,0.04,0.2,9.7067
CALL,100,75,1,0.03,0.2,7.0266
CALL,91,63,0.9,0.01,0.2,1.8967
CALL,100,80,1,0.03,0.2,4.6063
CALL,100,86,1,0.04,0.2,7.0105
PUT,100,91,1,0.04,0.2,4.0505
CALL,100,81,1,0.03,0.2,5.533
CALL,100,86,1,0.04,0.2,6.5656
CALL,99,69,1,0.02,0.2,2.6222
PUT,100,99,1,0.05,0.2,10.3348
CALL,100,84,1,0.03,0.2,6.6021
CALL,100,89,1,0.04,0.2,9.6442
CALL,99,68,1,0.02,0.2,3.8887
PUT,100,97,1,0.05,0.2,10.3907
CALL,100,72,1,0.02,0.2,2.0719
CALL,100,96,1,0.05,0.2,10.4434
CALL,100,78,1,0.03,0.2,8.0501
CALL,100,86,1,0.04,0.2,5.7944
CALL,100,95,1,0.05,0.2,10.4429
CALL,91,63,0.9,0.01,0.2,1.8176
PUT,100,97,1,0.05,0.2,10.2934
CALL,100,93,1,0.04,0.2,9.6348
PUT,100,96,1,0.05,0.2,10.2562
CALL,100,83,1,0.03,0.2,5.0106
PUT,100,95,1,0.05,0.2,7.5543
CALL,100,72,1,0.02,0.2,1.8181
CALL,100,76,1,0.03,0.2,7.014
CALL,100,72,1,0.02,0.2,6.0844
PUT,100,96,1,0.05,0.2,9.7846
CALL,99,69,1,0.02,0.2,1.7035
CALL,100,89,1,0.04,0.2,7.7256
CALL,100,75,1,0.03,0.2,7.1265
CALL,100,85,1,0.04,0.2,7.6986
CALL,100,76,1,0.03,0.2,6.7123
CALL,96,65,1,0.02,0.2,2.5146
CALL,100,73,1,0.02,0.2,1.7093
CALL,96,66,1,0.02,0.2,1.635
CALL,93,64,0.9,0.01,0.2,1.6003
CALL,100,86,1,0.04,0.2,5.755
PUT,100,96,1,0.05,0.2,10.1048
CALL,85,61,0.8,0.01,0.3,1.5619
CALL,100,90,1,0.04,0.2,9.8072
CALL,94,64,0.9,0.01,0.2,1.8094
CALL,100,74,1,0.02,0.2,2.563
CALL,90,63,0.9,0.01,0.2,1.6886
PUT,100,90,1,0.04,0.2,6.9668
CALL,94,64,0.9,0.01,0.2,2.1959
CALL,100,77,1,0.03,0.2,4.6068
PUT,100,99,1,0.05,0.2,10.4385
PUT,100,100,1,0.05,0.2,10.4381
PUT,100,98,1,0.05,0.2,10.3601
CALL,91,63,0.9,0.01,0.2,1.6205
PUT,100,98,1,0.05,0.2,10.0911
CALL,100,89,1,0.04,0.2,7.9941
PUT,100,86,1,0.04,0.2,4.8816
CALL,100,84,1,0.03,0.2,9.6024
CALL,88,62,0.9,0.01,0.2,1.5679
PUT,100,97,1,0.05,0.2,9.8578
PUT,100,93,1,0.04,0.2,4.6714
CALL,97,66,1,0.02,0.2,1.85
PUT,100,99,1,0.05,0.2,10.4037
CALL,100,76,1,0.03,0.2,7.1311
PUT,100,86,1,0.04,0.2,1.9558
CALL,100,91,1,0.04,0.2,8.8515
PUT,100,95,1,0.05,0.2,8.843
CALL,100,84,1,0.03,0.2,5.2943
CALL,81,61,0.8,0.01,0.3,1.5624
CALL,100,83,1,0.03,0.2,10.0141
CALL,100,84,1,0.03,0.2,5.871
PUT,100,92,1,0.04,0.2,5.6355
CALL,93,64,0.9,0.01,0.2,2.1057
CALL,100,77,1,0.03,0.2,7.537
CALL,100,81,1,0.03,0.2,7.8851
PUT,100,95,1,0.05,0.2,8.0663
PUT,100,80,1,0.03,0.2,2.0445
CALL,100,72,1,0.02,0.2,3.0611
CALL,100,73,1,0.02,0.2,7.497
PUT,100,99,1,0.05,0.2,10.4393
CALL,100,78,1,0.03,0.2,9.6171
CALL,97,66,1,0.02,0.2,1.9059
PUT,100,93,1,0.04,0.2,7.9002
CALL,99,69,1,0.02,0.2,2.1654
CALL,100,86,1,0.04,0.2,8.0618
PUT,100,95,1,0.05,0.2,9.897
CALL,100,84,1,0.04,0.2,9.266
PUT,100,95,1,0.05,0.2,8.5995
CALL,100,79,1,0.03,0.2,4.3684
PUT,100,100,1,0.05,0.2,10.4135
CALL,100,75,1,0.03,0.2,6.1303
CALL,100,78,1,0.03,0.2,6.3579
PUT,100,91,1,0.04,0.2,7.803
CALL,100,82,1,0.03,0.2,4.6097
CALL,100,89,1,0.04,0.2,8.28
CALL,61,60,0.6,0.01,0.3,1.5523
PUT,100,96,1,0.05,0.2,10.1518
CALL,81,61,0.8,0.01,0.3,1.5875
CALL,100,91,1,0.04,0.2,9.3921
PUT,100,97,1,0.05,0.2,10.3463
CALL,79,61,0.8,0.01,0.3,1.5736
CALL,98,68,1,0.02,0.2,1.7077
CALL,75,60,0.7,0.01,0.3,1.5773
CALL,99,70,1,0.02,0.2,6.3337
PUT,100,86,1,0.04,0.2,5.5168
CALL,100,72,1,0.02,0.2,8.0348
CALL,99,69,1,0.02,0.2,4.8593
CALL,99,68,1,0.02,0.2,2.3465
CALL,99,71,1,0.02,0.2,4.7159
CALL,100,73,1,0.02,0.2,6.5036
CALL,76,60,0.8,0.01,0.3,1.5554
CALL,100,71,1,0.02,0.2,3.8848
PUT,100,98,1,0.05,0.2,10.4214
CALL,99,69,1,0.02,0.2,1.8799
CALL,100,76,1,0.03,0.2,5.4671
CALL,100,73,1,0.02,0.2,2.0421
CALL,100,80,1,0.03,0.2,7.1092
CALL,100,79,1,0.03,0.2,9.1121
CALL,100,89,1,0.04,0.2,9.8466
CALL,72,60,0.7,0.01,0.3,1.5768
CALL,100,75,1,0.02,0.2,9.3101
CALL,83,61,0.8,0.01,0.3,1.706
PUT,100,96,1,0.05,0.2,9.7372
CALL,87,62,0.9,0.01,0.2,1.942
CALL,100,77,1,0.03,0.2,3.7912
CALL,61,60,0.6,0.01,0.3,1.5645
CALL,100,87,1,0.04,0.2,10.412
CALL,67,60,0.7,0.01,0.3,1.5506
PUT,100,87,1,0.04,0.2,4.5032
CALL,100,86,1,0.04,0.2,9.3202
CALL,100,88,1,0.04,0.2,6.8672
CALL,100,72,1,0.02,0.2,2.2012
CALL,100,90,1,0.04,0.2,9.5976
CALL,100,75,1,0.03,0.2,2.7575
CALL,100,78,1,0.03,0.2,5.1651
CALL,100,78,1,0.03,0.2,9.1042
CALL,100,83,1,0.03,0.2,6.8738
CALL,99,70,1,0.02,0.2,3.7241
CALL,93,64,0.9,0.01,0.2,4.4829
CALL,100,86,1,0.04,0.2,6.3696
PUT,100,88,1,0.04,0.2,2.1382
CALL,100,74,1,0.02,0.2,1.916
PUT,100,98,1,0.05,0.2,9.4296
CALL,97,66,1,0.02,0.2,2.0846
CALL,100,79,1,0.03,0.2,5.2793
PUT,100,91,1,0.04,0.2,8.3512
PUT,100,100,1,0.05,0.2,10.4473
CALL,100,90,1,0.04,0.2,8.8705
CALL,100,89,1,0.04,0.2,9.6881
CALL,98,68,1,0.02,0.2,2.3058
CALL,97,66,1,0.02,0.2,3.2485
CALL,100,76,1,0.03,0.2,3.4949
CALL,100,92,1,0.04,0.2,10.4229
CALL,100,77,1,0.03,0.2,4.7534
CALL,99,69,1,0.02,0.2,5.6865
PUT,100,85,1,0.04,0.2,3.5068
CALL,100,84,1,0.04,0.2,5.7674
CALL,94,64,0.9,0.01,0.2,1.5685
PUT,100,79,1,0.03,0.2,1.9692
CALL,100,74,1,0.02,0.2,6.9492
CALL,100,96,1,0.05,0.2,10.4068
CALL,100,84,1,0.03,0.2,7.3802
CALL,95,65,0.9,0.01,0.2,2.0543
PUT,100,93,1,0.04,0.2,8.9136
PUT,100,87,1,0.04,0.2,4.916
CALL,87,62,0.9,0.01,0.2,1.7382
CALL,97,66,1,0.02,0.2,4.9516
PUT,100,96,1,0.05,0.2,9.3987
CALL,100,88,1,0.04,0.2,8.4599
CALL,83,61,0.8,0.01,0.3,1.5855
CALL,71,60,0.7,0.01,0.3,1.5554
CALL,100,74,1,0.02,0.2,2.6575
CALL,100,75,1,0.02,0.2,8.9313
CALL,100,78,1,0.03,0.2,7.847
CALL,100,77,1,0.03,0.2,3.7993
CALL,67,60,0.7,0.01,0.3,1.5517
CALL,100,92,1,0.04,0.2,9.9958
CALL,99,70,1,0.02,0.2,2.3766
CALL,100,85,1,0.04,0.2,9.9649
CALL,90,63,0.9,0.01,0.2,1.7453
PUT,100,95,1,0.05,0.2,10.0116
CALL,100,78,1,0.03,0.2,2.7732
CALL,100,84,1,0.03,0.2,9.1665
CALL,100,79,1,0.03,0.2,5.2584
CALL,100,71,1,0.02,0.2,3.1264
CALL,100,84,1,0.03,0.2,10.1346
CALL,98,67,1,0.02,0.2,2.2963
CALL,88,62,0.9,0.01,0.2,1.6572
CALL,100,90,1,0.04,0.2,9.8049
CALL,90,63,0.9,0.01,0.2,1.5576
CALL,80,61,0.8,0.01,0.3,1.5828
CALL,100,93,1,0.04,0.2,9.6002
CALL,100,97,1,0.05,0.2,10.4327
CALL,100,78,1,0.03,0.2,5.758
CALL,100,80,1,0.03,0.2,7.5449
PUT,100,87,1,0.04,0.2,2.7833
CALL,100,89,1,0.04,0.2,7.7113
PUT,100,99,1,0.05,0.2,9.9536
CALL,100,85,1,0.04,0.2,8.1797
PUT,100,86,1,0.04,0.2,4.0765
CALL,91,63,0.9,0.01,0.2,2.1616
PUT,100,84,1,0.03,0.2,2.1987
PUT,100,97,1,0.05,0.2,10.0793
PUT,100,89,1,0.04,0.2,7.0893
CALL,96,65,1,0.02,0.2,2.6916
CALL,99,69,1,0.02,0.2,2.9779
CALL,64,60,0.6,0.01,0.3,1.5778
CALL,100,78,1,0.03,0.2,8.2877
CALL,100,84,1,0.04,0.2,8.8072
CALL,100,74,1,0.02,0.2,4.585
PUT,100,95,1,0.05,0.2,9.8884
CALL,100,89,1,0.04,0.2,8.9416
PUT,100,88,1,0.04,0.2,5.3056
PUT,100,89,1,0.04,0.2,6.5732
CALL,100,78,1,0.03,0.2,3.3557
CALL,96,65,1,0.02,0.2,1.7859
PUT,100,94,1,0.05,0.2,6.2799
PUT,100,100,1,0.05,0.2,10.4486
CALL,100,72,1,0.02,0.2,7.0872
PUT,100,99,1,0.05,0.2,10.4401
CALL,73,60,0.7,0.01,0.3,1.5681
CALL,100,74,1,0.02,0.2,7.467
PUT,100,99,1,0.05,0.2,10.4168
CALL,99,68,1,0.02,0.2,3.2306
CALL,100,77,1,0.03,0.2,3.4895
CALL,100,78,1,0.03,0.2,5.4166
CALL,100,71,1,0.02,0.2,9.6338
CALL,100,76,1,0.03,0.2,6.377
CALL,100,83,1,0.03,0.2,10.117
CALL,100,94,1,0.05,0.2,10.0707
CALL,80,61,0.8,0.01,0.3,1.569
CALL,96,65,1,0.02,0.2,1.5854
CALL,100,98,1,0.05,0.2,10.4467
CALL,100,91,1,0.04,0.2,9.8298
CALL,100,77,1,0.03,0.2,3.6412
PUT,100,94,1,0.05,0.2,8.2413
CALL,100,78,1,0.03,0.2,7.4071
PUT,100,96,1,0.05,0.2,9.1929
CALL,100,90,1,0.04,0.2,8.0649
CALL,100,82,1,0.03,0.2,7.8657
CALL,100,89,1,0.04,0.2,9.4408
CALL,93,64,0.9,0.01,0.2,3.1498
PUT,100,98,1,0.05,0.2,9.9986
PUT,100,98,1,0.05,0.2,10.379
PUT,100,90,1,0.04,0.2,7.152
PUT,100,92,1,0.04,0.2,5.7899
CALL,100,96,1,0.05,0.2,10.4083
CALL,99,70,1,0.02,0.2,1.8827
CALL,98,67,1,0.02,0.2,1.5651
